#SampleID	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	anonymized_name	batch_areal_prod	batch_avg_vol_prod	batch_daughter_culture_id	batch_end_date	batch_g_l_finish	batch_g_l_start	batch_id	batch_media_n_source	batch_media_salt_g_l	batch_parent_culture_id	batch_start_date	batch_total_fames_dry	collection_date	collection_timestamp	day	day_of_year	description_duplicate	elite_cells_counted	elite_cells_per_ml	g_dna_plate	g_dna_well	growth_cycle_day	host_subject_id	month	no3_per_l_start_mm	nonchlorophyll_cell_count	od_750_g_ld_panel_growth_rate	od_750_panel_growth_rate	overall_day	panel	par_mol_m2_day	percent_elite	percent_nonchlorophyll	percent_weed	po4_start_mm	sample_drymass	sample_od_750	sample_type	sampling_point_in_growth_cycle	season	system	system_vol_liters	tot_nonchlorophyll_events_ml	total_cells_per_ml	total_growth_cycle_days	total_weed_cells_per_ml	weed_cells_counted	year	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	altitude	assigned_from_geo	common_name	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	extracted_dna_avail_now	geographic_location_country_and_or_sea	host_common_name	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	title
ERR874047	SAMEA3375905	ERX953650	1902.1	3	1	ERR874047	ERS717667	qiime_ppdid_189:1902.100	100	3.36	0.05	966	10/20/11	2.17	1.15	957	NaNO3	20	944	10/4/11	40.1	10/14/11	10/14/11 0:00	14	287	Bioreactor sample taken from panel B5 in system AGS	2.13E+04	3.24E+08	2	H11	10	100	10	3	3712	0.07	0.19	84	B6	24	85	14.85	0	1.104	1.95	5.6	bioreactor content	0.6	fall	AGS	200	5.65E+07	3.80E+08	16	1.52E+04	1	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874048	SAMEA3375906	ERX953651	1902.101	3	1	ERR874048	ERS717668	qiime_ppdid_189:1902.101	101	3.36	0.05	966	10/20/11	2.17	1.15	957	NaNO3	20	944	10/4/11	40.1	10/14/11	10/14/11 0:00	14	287	Bioreactor sample taken from panel B6 in system AGS	2.22E+04	2.93E+08	4	A3	10	101	10	3	2805	0.05	0.15	84	B8	24	89	11.22	0	1.104	1.78	5.1	bioreactor content	0.6	fall	AGS	200	3.70E+07	3.30E+08	16	1.32E+04	1	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874049	SAMEA3375907	ERX953652	1902.102	3	1	ERR874049	ERS717669	qiime_ppdid_189:1902.102	102	3.36	0.05	966	10/20/11	2.17	1.15	957	NaNO3	20	944	10/4/11	40.1	10/14/11	10/14/11 0:00	14	287	Bioreactor sample taken from panel B7 in system AGS	2.16E+04	3.30E+08	4	A4	10	102	10	3	3349	0.07	0.19	84	B9	24	87	13.4	0	1.104	1.98	5.6	bioreactor content	0.6	fall	AGS	200	5.11E+07	3.81E+08	16	0.00E+00	0	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874050	SAMEA3375908	ERX953653	1902.103	3	1	ERR874050	ERS717670	qiime_ppdid_189:1902.103	103	3.36	0.05	966	10/20/11	2.17	1.15	957	NaNO3	20	944	10/4/11	40.1	10/14/11	10/14/11 0:00	14	287	Bioreactor sample taken from panel B8 in system AGS	2.20E+04	3.20E+08	4	A5	10	103	10	3	2995	0.07	0.19	84	B10	24	88	11.98	0	1.104	1.93	5.5	bioreactor content	0.6	fall	AGS	200	4.36E+07	3.64E+08	16	5.82E+04	4	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874051	SAMEA3375909	ERX953654	1902.104	4	2	ERR874051	ERS717671	qiime_ppdid_189:1902.104	104	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B9 in system AGS	2.41E+04	2.68E+08	1	E12	7	104	10	3	925	0.02	0.06	109	A5	18	96	3.7	0	1.104	1.48	4.2	bioreactor content	0.3	fall	AGS	200	1.03E+07	2.79E+08	24	5.58E+04	5	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874052	SAMEA3375910	ERX953655	1902.105	4	2	ERR874052	ERS717672	qiime_ppdid_189:1902.105	105	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel B10 in system AGS	2.40E+04	2.57E+08	1	F1	7	105	10	3	970	0.03	0.08	109	A6	18	96	3.88	0	1.104	1.47	4.2	bioreactor content	0.3	fall	AGS	200	1.04E+07	2.67E+08	24	5.35E+04	5	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874053	SAMEA3375911	ERX953656	1902.106	4	2	ERR874053	ERS717673	qiime_ppdid_189:1902.106	106	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A5 in system AGS	2.39E+04	2.49E+08	1	F2	7	106	10	3	1042	0.04	0.1	109	A7	18	96	4.17	0	1.104	1.41	4	bioreactor content	0.3	fall	AGS	200	1.08E+07	2.60E+08	24	4.15E+04	4	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874054	SAMEA3375912	ERX953657	1902.107	4	2	ERR874054	ERS717674	qiime_ppdid_189:1902.107	107	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A6 in system AGS	2.40E+04	2.60E+08	1	F3	7	107	10	3	989	0.02	0.05	109	A8	18	96	3.96	0	1.104	1.51	4.3	bioreactor content	0.3	fall	AGS	200	1.07E+07	2.71E+08	24	5.42E+04	5	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874055	SAMEA3375913	ERX953658	1902.108	3	1	ERR874055	ERS717675	qiime_ppdid_189:1902.108	108	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A7 in system AGS	2.40E+04	2.34E+08	1	F4	7	108	10	3	1026	0.01	0.03	109	A9	18	96	4.1	0.1	1.104	1.46	4.2	bioreactor content	0.3	fall	AGS	200	1.00E+07	2.45E+08	24	1.37E+05	14	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
ERR874056	SAMEA3375914	ERX953659	1902.109	3	1	ERR874056	ERS717676	qiime_ppdid_189:1902.109	109	1.69	0.03	978	11/14/11	1.91	1.04	967	NaNO3	20	958	10/21/11	28.2	10/28/11	10/28/11 0:00	28	301	Bioreactor sample taken from panel A8 in system AGS	2.41E+04	2.77E+08	1	F5	7	109	10	3	878	0.03	0.09	109	A10	18	96	3.51	0	1.104	1.65	4.7	bioreactor content	0.3	fall	AGS	200	1.01E+07	2.87E+08	24	9.18E+04	8	2011	OTHER	151	PRJEB9328	"COLORADO CENTER FOR MICROBIAL ECOLOGY, UNIVERSITY "	public	sra	ncbi	6/23/17	3/9/18	0	unspecified	SINGLE	unspecified	METAGENOMIC	6/25/17	bioreactor metagenome	ILLUMINA	6/24/17	ERP010414	0	y	bioreactor metagenome	0	TRUE	1516.214	ENVO:bioreactor	ENVO:bioreactor	ENVO:fresh water	y	GAZ:United States of America	bioreactor sample	1076179	40.594	-105.075	TRUE	UCSDMI	TRUE	y	completed	Fulbright_biofuels
