#SampleID	BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Ph_s	Replicate_s	Run_s	SRA_Sample_s	Salinity_s	Sample_Name_s	Substrate_s	isolation_source_s	misc_param_s	temperature_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	geo_loc_name_s	host_s	lat_lon_s
SRR4938483	SAMN05936349	SRX2328409	BB054	30	20	8.62	2	SRR4938483	SRS1783801	33.67	BB054	root	root	intrazoneLocation:far	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938484	SAMN05936339	SRX2328410	BB044	28	18	8.74	1	SRR4938484	SRS1783802	33.68	BB044	soil	soil	intrazoneLocation:near	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938485	SAMN05936317	SRX2328411	BB022	38	25	7.85	2	SRR4938485	SRS1783803	33.5	BB022	soil	soil	intrazoneLocation:outside	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938486	SAMN05936301	SRX2328412	BB006	39	25	8.68	2	SRR4938486	SRS1783804	33.1	BB006	soil	soil	intrazoneLocation:edge	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938487	SAMN05936329	SRX2328413	BB034	47	30	8.68	2	SRR4938487	SRS1783805	33.1	BB034	root	root	intrazoneLocation:edge	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938488	SAMN05936362	SRX2328414	BB067	92	60	8.62	3	SRR4938488	SRS1783806	33.67	BB067	root	root	intrazoneLocation:inter	15.9	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938489	SAMN05936300	SRX2328415	BB005	46	30	8.83	1	SRR4938489	SRS1783807	33.54	BB005	soil	soil	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938490	SAMN05936330	SRX2328416	BB035	53	35	7.84	3	SRR4938490	SRS1783808	33.52	BB035	root	root	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938491	SAMN05936322	SRX2328417	BB027	65	43	7.84	3	SRR4938491	SRS1783809	33.52	BB027	leaf	leaf	intrazoneLocation:edge	16.2	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
SRR4938492	SAMN05936321	SRX2328418	BB026	91	60	8.68	2	SRR4938492	SRS1783810	33.1	BB026	leaf	leaf	intrazoneLocation:edge	16.1	AMPLICON	500	PRJNA350006	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	11/4/16	plant metagenome	ILLUMINA	11/9/16	SRP092613	2013	USA:California:Bodega Harbor	Zostera marina	38.32 N 123.05 W
