#SampleID	AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	region	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolation_source_s	lat_lon_s	misc_param_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	geo_loc_name_s	host_s
SRR5380209	250	SAMN06566610	SRX2675437	UKW2.20	UK	3/27/17	0	0	3/27/17	SRR5380209	SRS2073779	UKW2.20	2014-07-13T16:05:00	Water	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380208	250	SAMN06566609	SRX2675436	UKW2.6	UK	3/27/17	0	0	3/27/17	SRR5380208	SRS2073780	UKW2.6	2014-07-13T16:05:00	Water	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380210	250	SAMN06566608	SRX2675438	UKW2.1	UK	3/27/17	0	0	3/27/17	SRR5380210	SRS2073781	UKW2.1	2014-07-13T16:05:00	Water	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380212	250	SAMN06566598	SRX2675440	UKW1.20	UK	3/27/17	0	0	3/27/17	SRR5380212	SRS2073782	UKW1.20	2014-07-13T09:05:00	Water	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382532	250	SAMN06566598	SRX2677671	UKW1.20	UK	3/28/17	0	0	3/28/17	SRR5382532	SRS2073782	UKW1.20	2014-07-13T09:05:00	Water	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380211	250	SAMN06566597	SRX2675439	UKW1.6	UK	3/27/17	0	0	3/27/17	SRR5380211	SRS2073783	UKW1.6	2014-07-13T09:05:00	Water	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380215	250	SAMN06566607	SRX2675443	UKS2.20	UK	3/27/17	0	0	3/27/17	SRR5380215	SRS2073787	UKS2.20	2014-07-13T16:05:00	Sediment	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380218	250	SAMN06566595	SRX2675446	UKS1.20	UK	3/27/17	0	0	3/27/17	SRR5380218	SRS2073789	UKS1.20	2014-07-13T09:05:00	Sediment	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380219	250	SAMN06566593	SRX2675447	UKS1.1	UK	3/27/17	0	0	3/27/17	SRR5380219	SRS2073790	UKS1.1	2014-07-13T09:05:00	Sediment	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380220	250	SAMN06566603	SRX2675448	UKR2.6	UK	3/27/17	0	0	3/27/17	SRR5380220	SRS2073791	UKR2.6	2014-07-13T16:05:00	Roots	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380222	250	SAMN06566602	SRX2675450	UKR2.1	UK	3/27/17	0	0	3/27/17	SRR5380222	SRS2073793	UKR2.1	2014-07-13T16:05:00	Roots	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380225	250	SAMN06566590	SRX2675453	UKR1.1	UK	3/27/17	0	0	3/27/17	SRR5380225	SRS2073795	UKR1.1	2014-07-13T09:05:00	Roots	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380224	250	SAMN06566592	SRX2675452	UKR1.20	UK	3/27/17	0	0	3/27/17	SRR5380224	SRS2073796	UKR1.20	2014-07-13T09:05:00	Roots	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380226	250	SAMN06566600	SRX2675454	UKL2.6	UK	3/27/17	0	0	3/27/17	SRR5380226	SRS2073797	UKL2.6	2014-07-13T16:05:00	Leaf	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380227	250	SAMN06566601	SRX2675455	UKL2.20	UK	3/27/17	0	0	3/27/17	SRR5380227	SRS2073798	UKL2.20	2014-07-13T16:05:00	Leaf	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380228	250	SAMN06566599	SRX2675456	UKL2.1	UK	3/27/17	19	10	3/27/17	SRR5380228	SRS2073799	UKL2.1	2014-07-13T16:05:00	Leaf	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5382533	250	SAMN06566599	SRX2677672	UKL2.1	UK	3/28/17	19	10	3/28/17	SRR5382533	SRS2073799	UKL2.1	2014-07-13T16:05:00	Leaf	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380229	250	SAMN06566588	SRX2675457	UKL1.6	UK	3/27/17	0	0	3/27/17	SRR5380229	SRS2073800	UKL1.6	2014-07-13T09:05:00	Leaf	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380230	250	SAMN06566589	SRX2675458	UKL1.20	UK	3/27/17	0	0	3/27/17	SRR5380230	SRS2073802	UKL1.20	2014-07-13T09:05:00	Leaf	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380231	250	SAMN06566587	SRX2675459	UKL1.1	UK	3/27/17	0	0	3/27/17	SRR5380231	SRS2073803	UKL1.1	2014-07-13T09:05:00	Leaf	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380232	250	SAMN06566615	SRX2675460	UKE2.6	UK	3/27/17	0	0	3/27/17	SRR5380232	SRS2073801	UKE2.6	2014-07-13T16:05:00	Epiphyte	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380233	250	SAMN06566616	SRX2675461	UKE2.20	UK	3/27/17	0	0	3/27/17	SRR5380233	SRS2073804	UKE2.20	2014-07-13T16:05:00	Epiphyte	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380234	250	SAMN06566614	SRX2675462	UKE2.1	UK	3/27/17	0	0	3/27/17	SRR5380234	SRS2073806	UKE2.1	2014-07-13T16:05:00	Epiphyte	52.897536 N 4.322364 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380235	250	SAMN06566612	SRX2675463	UKE1.6	UK	3/27/17	9	5	3/27/17	SRR5380235	SRS2073805	UKE1.6	2014-07-13T09:05:00	Epiphyte	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380236	250	SAMN06566613	SRX2675464	UKE1.20	UK	3/27/17	0	0	3/27/17	SRR5380236	SRS2073808	UKE1.20	2014-07-13T09:05:00	Epiphyte	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380237	250	SAMN06566611	SRX2675465	UKE1.1	UK	3/27/17	134	75	3/27/17	SRR5380237	SRS2073807	UKE1.1	2014-07-13T09:05:00	Epiphyte	55.942292 N 4.565192 W	ZenSite:UK	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380238	250	SAMN06566805	SRX2675466	SWW2.6	SW	3/27/17	0	0	3/27/17	SRR5380238	SRS2073809	SWW2.6	8/7/14	Water	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380239	250	SAMN06566806	SRX2675467	SWW2.20	SW	3/27/17	1	0	3/27/17	SRR5380239	SRS2073810	SWW2.20	8/7/14	Water	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380240	250	SAMN06566804	SRX2675468	SWW2.1	SW	3/27/17	0	0	3/27/17	SRR5380240	SRS2073811	SWW2.1	8/7/14	Water	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380241	250	SAMN06566793	SRX2675469	SWW1.6	SW	3/27/17	0	0	3/27/17	SRR5380241	SRS2073812	SWW1.6	8/6/14	Water	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380242	250	SAMN06566794	SRX2675470	SWW1.20	SW	3/27/17	0	0	3/27/17	SRR5380242	SRS2073813	SWW1.20	8/6/14	Water	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380243	250	SAMN06566792	SRX2675471	SWW1.1	SW	3/27/17	0	0	3/27/17	SRR5380243	SRS2073814	SWW1.1	8/6/14	Water	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380244	250	SAMN06566802	SRX2675472	SWS2.6	SW	3/27/17	0	0	3/27/17	SRR5380244	SRS2073816	SWS2.6	8/7/14	Sediment	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380245	250	SAMN06566803	SRX2675473	SWS2.20	SW	3/27/17	0	0	3/27/17	SRR5380245	SRS2073815	SWS2.20	8/7/14	Sediment	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380246	250	SAMN06566801	SRX2675474	SWS2.1	SW	3/27/17	0	0	3/27/17	SRR5380246	SRS2073817	SWS2.1	8/7/14	Sediment	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380247	250	SAMN06566790	SRX2675475	SWS1.6	SW	3/27/17	0	0	3/27/17	SRR5380247	SRS2073818	SWS1.6	8/6/14	Sediment	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380248	250	SAMN06566791	SRX2675476	SWS1.20	SW	3/27/17	0	0	3/27/17	SRR5380248	SRS2073819	SWS1.20	8/6/14	Sediment	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380249	250	SAMN06566789	SRX2675477	SWS1.1	SW	3/27/17	0	0	3/27/17	SRR5380249	SRS2073820	SWS1.1	8/6/14	Sediment	58.3131 N 11.5488 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
SRR5380250	250	SAMN06566799	SRX2675478	SWR2.6	SW	3/27/17	0	0	3/27/17	SRR5380250	SRS2073821	SWR2.6	8/7/14	Roots	58.2488 N 11.4536 E	ZenSite:SW	AMPLICON	PRJNA379026	Metagenome or environmental	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	plant metagenome	ILLUMINA	SRP102519	missing	Zostera marina
